Freq,S11_r,S11_i,S21_r,S21_i,S22_r,S22_i
1.081,-0.09025480668910563,0.004403990164103352,0.42731028105201857,0.7711998752511932,0.0065894580637498,-0.06380760240387226
1.0815,-0.0901424758828726,0.004847738639640067,0.4212304050642603,0.7743847026951153,0.009111137519877913,-0.06361459745534656
1.082,-0.09006315112156933,0.005288612170060408,0.41517731170402583,0.7775986841434341,0.011657759882540138,-0.06347286886881767
1.0825,-0.0899526514751436,0.005727751205184969,0.40908189910896015,0.7807303285321825,0.01419647029693205,-0.06324173267929939
1.083,-0.08986733561136385,0.006174433847877886,0.4029505756461639,0.7838082144359334,0.01674548496821359,-0.06301844682094118
1.0835,-0.08980416833552067,0.0066280942152307995,0.3968093530984107,0.7868459843917746,0.019085983980896545,-0.0627306039380645
1.084,-0.08971807936463026,0.0070710455565907784,0.3906695809113059,0.7898408038985578,0.021518535703422968,-0.062465192983341855
1.0845,-0.0896351467536709,0.007517182247741401,0.3844850710661721,0.7928008703952921,0.023876468993561852,-0.06213930648390915
1.085,-0.08948601870537308,0.007957324520957355,0.3782902467466291,0.7957520958911334,0.026482244156230066,-0.0618132717430893
1.0855,-0.08937594352860481,0.008400148551731781,0.372025761247287,0.7985357861284528,0.02901124873884199,-0.06143724840605155
1.086,-0.08929327042412762,0.008855313639667142,0.36574878320380755,0.8012880353574238,0.03131868113001557,-0.06107827436644546
1.0865,-0.0891882094157118,0.009289258466488093,0.35948341012462587,0.8040874958393627,0.03374529286895508,-0.06067954459942397
1.087,-0.08909534514674877,0.009745965302084027,0.35317985370688926,0.8067689459387649,0.03613045831723969,-0.06026637792223115
1.0875,-0.0890023342313019,0.010196985202128542,0.34684401071784854,0.8094265860018878,0.03851029315856187,-0.05982488194007206
1.088,-0.08889134753978357,0.010645541023586398,0.34048067688439476,0.8119974769951107,0.04089230894564712,-0.05932078785219365
1.0885,-0.08880706711342178,0.011089643082349963,0.33411292815180216,0.8145504146470326,0.04327284768544333,-0.05884417036935239
1.089,-0.08870120003644298,0.011538122116330984,0.3277335872425611,0.8170323000073217,0.045612098162832224,-0.05834386526297809
1.0895,-0.0885885062608531,0.011993173930963635,0.32130726369768786,0.8194471169542626,0.0478811747201622,-0.057798182038643266
1.09,-0.08848788479202462,0.012445111026178873,0.31492412646457413,0.821961027491463,0.050196743237187556,-0.05724069067029365
1.0905,-0.08836084874782998,0.01289726382297908,0.3084918009292661,0.8243282401554237,0.05238861449441064,-0.05664723815766034
1.091,-0.08823706874390418,0.01334386530010346,0.3020270536206085,0.8265938392418758,0.054728916154390836,-0.056052522806522474
1.0915,-0.08817203876622942,0.013799894017595418,0.2955521711858709,0.8288913109254684,0.05694811102122173,-0.05544275571993846
1.092,-0.08804290512886373,0.014249057899099103,0.28906136115705505,0.8311026365306445,0.05914517681363181,-0.05480135144002118
1.0925,-0.0879323282017698,0.014715724405702492,0.2825679724288269,0.8332763901646577,0.06133602301215342,-0.05411373387424904
1.093,-0.0878111392592498,0.015162412182770216,0.27604829771798134,0.8353739561894717,0.06351059313123537,-0.05341797883283838
1.0935,-0.08770018359234956,0.015610307479139232,0.2694989322604804,0.8374500519191285,0.06565980326361272,-0.05274673657391718
1.094,-0.08760672764267108,0.016077768603671036,0.2629465026150761,0.8394546546989076,0.06761195269662049,-0.05204710484544759
1.0945,-0.08750167030303191,0.016531805386515247,0.2564017493996524,0.8414756538277388,0.06969668547763602,-0.05129474214092817
