Freq,S11_r,S11_i
1000000000.0,-6.510147341472357e-05,-0.002507093983744112
1010000000.0,-7.788800186143274e-05,-0.0025104384782590836
1020000000.0,-9.839226876615656e-05,-0.002504169444949266
1030000000.0,-0.00010174534681215505,-0.0025091770537578177
1040000000.0,-0.00010899830871705191,-0.002494201901681248
1050000000.0,-0.0001328613580196272,-0.00250090659191638
1060000000.0,-0.00015580582038361503,-0.002493491019813731
1070000000.0000001,-0.00015874803490626107,-0.002501344495738948
1080000000.0,-0.00018029182675889953,-0.002496936131674564
1090000000.0,-0.0001981382708242773,-0.0024913364965905523
1100000000.0,-0.0002063023369485986,-0.002505862216298939
1110000000.0,-0.00021044295010255945,-0.0024924675001557605
1120000000.0,-0.00022972180672473967,-0.0024895371325144187
1130000000.0,-0.0002395921544904972,-0.0024950596264362674
1140000000.0,-0.0002619617454446025,-0.0024913780403451936
1150000000.0,-0.0002781788453718254,-0.002488983864325901
1160000000.0,-0.0003164779039662901,-0.0024860669591971235
1170000000.0,-0.0003234062752836932,-0.0024854655825818257
1180000000.0,-0.00033525133835258077,-0.0024817452395830297
1190000000.0,-0.0003579147214555041,-0.0024762976163067445
1200000000.0,-0.00038278189671526786,-0.002487244692578472
1210000000.0,-0.0003943967113411214,-0.0024723212330239044
1220000000.0,-0.0004122550209133045,-0.0024669110220499673
1230000000.0,-0.00043487725380616816,-0.002455071021232741
1240000000.0,-0.0004360217443184737,-0.002452809899121538
1250000000.0,-0.00047092622841963356,-0.002437190826739447
1260000000.0,-0.0004976498924066331,-0.002456155973580173
1270000000.0,-0.0005141688266426063,-0.002446813493355546
1280000000.0,-0.0005204560811689809,-0.0024346674603690182
1290000000.0,-0.0005328843837307219,-0.002442006985734834
1300000000.0,-0.0005532435209792441,-0.0024407376916748004
1310000000.0,-0.0005869392436257518,-0.0024369792553523588
1320000000.0,-0.0006080750857184775,-0.002419344815773894
1330000000.0,-0.0006277472931585683,-0.0024278666816237096
1340000000.0,-0.0006355460994613024,-0.0024243947380406068
1350000000.0,-0.0006590243538797985,-0.0024030606740006793
1360000000.0,-0.0006920661249929989,-0.00239828209689927
1370000000.0,-0.0007137246305237463,-0.0023989097265356657
1380000000.0,-0.000727534234447677,-0.0023897857854360085
1390000000.0,-0.0007502065781570366,-0.0023789351784763413
1400000000.0,-0.0007741171507317194,-0.0023686475249658618
1410000000.0,-0.0007838382887227419,-0.002368251865629758
1420000000.0,-0.0008174859080720542,-0.0023585722919603467
1430000000.0,-0.0008354190700515591,-0.002352017311038739
1440000000.0,-0.0008599512886382278,-0.002352937704804642
1450000000.0,-0.0008746918873060654,-0.0023378873480439585
1460000000.0,-0.0008957836297629118,-0.0023310685193043104
1470000000.0,-0.000922240081424743,-0.002311350866823438
