Frequency (GHz),xn1_sq,xn2_sq,xn1_xn2_conj
1.041,3.99237817997572e-21,-5.56334475127083e-18,(-2.0849520911608606e-20-2.712480462488783e-20j)
1.042,3.991475461850211e-21,-5.564507233820958e-18,(-3.671305780342429e-20-6.007331727961991e-21j)
1.043,3.9908044762309375e-21,-5.563629391581954e-18,(-2.8651310210954914e-20-2.6724810663609317e-20j)
1.044,3.99037509977477e-21,-5.5596552597747e-18,(-2.808737355855404e-20-2.6464948577224158e-20j)
1.045,3.9896726094289645e-21,-5.563132424055542e-18,(-3.3282022784711997e-20-1.798585762467171e-20j)
1.046,3.989242819042407e-21,-5.5642800522858906e-18,(-1.555310675058978e-20-3.0554894020461435e-20j)
1.047,3.9884314640542564e-21,-5.560872392912162e-18,(-2.3603611356604588e-20-2.826649452862498e-20j)
1.048,3.988091190845797e-21,-5.559602462936814e-18,(-2.977829640046705e-20-2.764354464672731e-20j)
1.049,3.9871524552040395e-21,-5.5613439179399445e-18,(-2.0545254243703915e-20-3.1224700418185295e-20j)
1.05,3.98663443066116e-21,-5.564375913591799e-18,(-2.620531912086208e-20-2.1818383865895774e-20j)
1.051,3.986054714314268e-21,-5.563360291733071e-18,(-2.383065778868308e-20-1.0540868578148266e-20j)
1.052,3.985844629406387e-21,-5.55555149901663e-18,(-3.407708334979675e-20-2.1194815392667493e-20j)
1.053,3.9853206757863496e-21,-5.5629133922027546e-18,(-1.7157239370726346e-20-3.418848242601277e-20j)
1.054,3.984479286618794e-21,-5.5580769822613364e-18,(-1.9215602120813552e-20-3.395788023153972e-20j)
1.055,3.983863558722838e-21,-5.5618449689035464e-18,(-2.967938937206063e-20-1.814294295041402e-20j)
1.056,3.98332964984288e-21,-5.555857118699057e-18,(-2.5801292103127055e-20-1.962634351619961e-20j)
1.057,3.982861144968737e-21,-5.560110289888714e-18,(-2.304880696145438e-20-2.1057246570724976e-20j)
1.058,3.982249692789786e-21,-5.560875823547883e-18,(-1.9231839764747224e-20-2.152391998399789e-20j)
1.059,3.981914493917448e-21,-5.555844959296612e-18,(-1.142392828303522e-20-2.882720017780613e-20j)
1.06,3.98101787869319e-21,-5.554867484375424e-18,(-1.341896402479897e-20-2.695735032798922e-20j)
1.061,3.9807497568802276e-21,-5.559991674380272e-18,(-3.581947464847304e-20-1.479128603510675e-20j)
1.062,3.980309557234103e-21,-5.555608738326263e-18,(-2.1450015582347694e-20-1.824538110282268e-20j)
1.063,3.979386180233135e-21,-5.554886446491576e-18,(-2.3908464349419384e-20-3.945645715348304e-20j)
1.064,3.979047562175331e-21,-5.554210617758161e-18,(-1.2916055844109901e-20-2.7713101485594584e-20j)
1.065,3.978910284214361e-21,-5.554592576965457e-18,(-2.9215211407797986e-20-3.943691607520601e-20j)
1.066,3.978241031366017e-21,-5.555249606783156e-18,(-2.758422113993376e-20-2.446111811929378e-20j)
1.067,3.97730099852579e-21,-5.5503719207695416e-18,(-1.6579388686428843e-20-2.687538481600156e-20j)
1.068,3.976811087084223e-21,-5.554061608573433e-18,(-1.839859078817754e-20-1.167680141304303e-20j)
1.069,3.97702577695874e-21,-5.556395642452758e-18,(-2.5387502834702474e-20-1.6826842055481473e-20j)
1.07,3.9765309185702854e-21,-5.5525431002496904e-18,(-2.930391528299066e-20-1.4140093305610543e-20j)
1.071,3.97593883119538e-21,-5.551394700809973e-18,(-2.6602400452655123e-20-3.218918958049268e-20j)
1.072,3.975714901268315e-21,-5.557179914726724e-18,(-2.5768448390538747e-20-2.313384170071814e-20j)
1.073,3.975093309629904e-21,-5.551715463105418e-18,(-2.405354647965765e-20-2.6934668411624412e-20j)
1.074,3.974930940299029e-21,-5.546380926296021e-18,(-1.795317831941353e-20-2.562414278296903e-20j)
1.075,3.974539154127051e-21,-5.552870650950248e-18,(-1.939669399250255e-20-3.5437029201898386e-20j)
1.076,3.974242915119844e-21,-5.552942131682169e-18,(-3.557039392801878e-20-3.5003142545495815e-20j)
1.077,3.974242884637183e-21,-5.551985300461057e-18,(-2.422807150693436e-20-2.3749080440311588e-20j)
1.078,3.97337484095688e-21,-5.552941155601049e-18,(-2.3420290406253418e-20-1.9826748120192355e-20j)
1.079,3.9732515448890006e-21,-5.549956010745135e-18,(-1.0921750126359789e-20-1.2112063569470812e-20j)
1.08,3.973068941217136e-21,-5.55187529310798e-18,(-2.6728567812909356e-20-2.910412904959689e-20j)
1.081,3.972722594088429e-21,-5.551365546854363e-18,(-2.1518480127743427e-20-3.2318598124477295e-20j)
1.082,3.972006260768006e-21,-5.558263987595479e-18,(-2.735838977202517e-20-4.218628590904332e-20j)
1.083,3.9722270331094516e-21,-5.5474475868277375e-18,(-2.717881057553207e-20-2.805558224560333e-20j)
1.084,3.971928791575456e-21,-5.54955658110745e-18,(-2.0878387406194994e-20-2.801467923836088e-20j)
1.085,3.971333469635433e-21,-5.5427434786899065e-18,(-3.0624130672566614e-20-2.9673403897599206e-20j)
1.086,3.9713177300190715e-21,-5.552849987602342e-18,(-3.73169127381169e-20-3.074485441951221e-20j)
1.087,3.970851780848554e-21,-5.54521510529376e-18,(-3.299335844219334e-20-2.0202224908821293e-20j)
1.088,3.970923647138617e-21,-5.541434300511052e-18,(-2.005772110697081e-20-1.6514575862605782e-20j)
1.089,3.971013414440869e-21,-5.5441218106461274e-18,(-2.0596966111172233e-20-2.98293593749185e-20j)
1.09,3.9708810917876435e-21,-5.547486456382603e-18,(-2.1029158545183045e-20-3.264944266586899e-20j)
1.091,3.970494745165471e-21,-5.547547934917023e-18,(-2.081864552994679e-20-2.4445994095802178e-20j)
1.092,3.9702298785570865e-21,-5.5468746502085205e-18,(-1.9637498146850345e-20-3.049181091990412e-20j)
1.093,3.970393856655152e-21,-5.5477315423629186e-18,(-2.0591236843607992e-20-1.639254622324026e-20j)
1.094,3.969932327725381e-21,-5.541907812805797e-18,(-2.0338609729304013e-20-1.8788032671987733e-20j)
1.095,3.970216259627412e-21,-5.540074180793184e-18,(-2.8862298992599375e-20-2.7114165077467227e-20j)
1.096,3.9700394945277255e-21,-5.536276101049102e-18,(-2.232028467837822e-20-2.8996434049162986e-20j)
1.097,3.9695923430883044e-21,-5.53467542998556e-18,(-1.684620414653317e-20-2.3130627377275402e-20j)
1.098,3.969825945667809e-21,-5.538174011221076e-18,(-1.024260519983099e-20-4.0318558096766654e-20j)
1.099,3.969270325917704e-21,-5.538993165606299e-18,(-2.308971872226464e-20-3.024247243501746e-20j)
1.1,3.969204044598333e-21,-5.53850013522553e-18,(-2.2929243331122135e-20-2.9562410402347864e-20j)
1.101,3.969697745990607e-21,-5.537790700297585e-18,(-1.227986460063287e-20-2.548429235995069e-20j)
1.102,3.969564879372378e-21,-5.533701669409764e-18,(-1.8123550075462253e-20-2.3382469034627843e-20j)
1.103,3.969044460098709e-21,-5.526715874901919e-18,(-1.2605750899815575e-20-2.597666217023535e-20j)
1.104,3.9696550734843775e-21,-5.526396456053765e-18,(-2.2490282697007287e-20-2.7701385376316314e-20j)
1.105,3.969592352948222e-21,-5.525859598622939e-18,(-2.6426213058130385e-20-2.5931804461670366e-20j)
1.106,3.9700025984988685e-21,-5.5334098905587904e-18,(-1.58318322054e-20-3.365373433698929e-20j)
1.107,3.9699658288971214e-21,-5.525867900249781e-18,(-8.286080219393989e-21-2.8399625262956773e-20j)
1.108,3.969321261421473e-21,-5.5224799781833585e-18,(-1.4060599865430655e-20-2.5716462540538578e-20j)
1.109,3.969532099700624e-21,-5.531901928660257e-18,(-2.3429770424416294e-20-3.25028480846667e-20j)
1.11,3.970077318877198e-21,-5.529814243914512e-18,(-1.2306839535585627e-20-4.3242177584927414e-20j)
1.111,3.970017896617273e-21,-5.522642667692935e-18,(-1.8699447442049466e-20-3.5960595267452776e-20j)
1.112,3.9697223540285e-21,-5.523581032299221e-18,(-2.4454398195192994e-20-3.8842696159369126e-20j)
1.113,3.970621252176769e-21,-5.517364031109678e-18,(-3.130580007462152e-20-2.119559407123722e-20j)
1.114,3.971072520839011e-21,-5.515654108820943e-18,(-2.613467436775157e-20-1.9329493710537252e-20j)
1.115,3.970773925189263e-21,-5.518174112331857e-18,(-1.552827053710816e-20-4.067790220739829e-20j)
1.116,3.97070841398388e-21,-5.520058695096195e-18,(-1.3455191185438208e-20-2.85293777627243e-20j)
1.117,3.9707909161350534e-21,-5.519299165742705e-18,(-1.7582672787861963e-20-3.337685718126395e-20j)
1.118,3.971726565401098e-21,-5.51426011939605e-18,(-1.9787119637679948e-20-2.140454988603524e-20j)
1.119,3.9713072653052194e-21,-5.518565674591894e-18,(-2.898630143849204e-20-3.447474030700298e-20j)
1.12,3.971582082990322e-21,-5.5159610568698196e-18,(-2.6696653797571127e-20-3.5053222858164555e-20j)
1.121,3.972109170013124e-21,-5.508051205041757e-18,(-1.825877733388189e-20-2.321482558278822e-20j)
1.122,3.971660928626075e-21,-5.506718926659539e-18,(-2.5482059067627717e-20-3.356444525971882e-20j)
1.123,3.972154267610338e-21,-5.5111379575957256e-18,(-7.456558062069738e-21-2.261965367104023e-20j)
1.124,3.972472358758108e-21,-5.501267019800817e-18,(-1.9955566436877598e-20-3.5945128713785817e-20j)
1.125,3.97271830222562e-21,-5.507105297174753e-18,(-1.2215439553557123e-20-3.4037911480065876e-20j)
1.126,3.973514831245502e-21,-5.501111144523679e-18,(-2.5230349378374886e-20-2.0519327677868116e-20j)
1.127,3.973780995331016e-21,-5.502433318912061e-18,(-1.896345664223226e-20-3.242077218444425e-20j)
1.128,3.973510832200599e-21,-5.4958490716630424e-18,(-1.7155425458336786e-20-2.658038090456569e-20j)
1.129,3.9740223351889995e-21,-5.502948569154569e-18,(-2.2333628978467842e-20-4.671852847226282e-20j)
1.13,3.974817734333325e-21,-5.499274883981143e-18,(-6.859282564461946e-21-3.037227599874854e-20j)
1.131,3.973961298906511e-21,-5.491675386383861e-18,(-2.9727832776681566e-20-3.5061267171927614e-20j)
1.132,3.974782794935156e-21,-5.494610124136155e-18,(-1.2159608002146052e-20-2.5493451302680475e-20j)
1.133,3.974884122324837e-21,-5.488452643248561e-18,(-1.6949575609861793e-20-2.725622475700053e-20j)
1.134,3.975512889142144e-21,-5.490781153267375e-18,(-1.8384468756800084e-20-1.5656063831532955e-20j)
1.135,3.975767561143699e-21,-5.4907282487069284e-18,(-1.857497758840083e-20-2.7426647440603365e-20j)
1.136,3.976514418915269e-21,-5.488674617540224e-18,(-1.7092561832467082e-20-4.579330066541682e-20j)
1.137,3.97687013698601e-21,-5.487987127412806e-18,(-1.9600145766744227e-20-3.0649240283936834e-20j)
1.138,3.9766591363152475e-21,-5.487775350320369e-18,(-5.18194168881837e-21-3.248767944367453e-20j)
1.139,3.976890271167182e-21,-5.486338284595706e-18,(-2.082828187358672e-20-3.079117016870006e-20j)
1.14,3.9766101850036175e-21,-5.485461709578937e-18,(-2.0652007145505096e-20-4.127508566316517e-20j)
1.141,3.978007309087502e-21,-5.480461245149085e-18,(1.339698596739756e-20-2.1609267788304103e-20j)
1.142,3.977875616306572e-21,-5.485114957814547e-18,(1.9375550798597635e-20-7.265084222377291e-22j)
1.143,3.977562854975383e-21,-5.4807426803736805e-18,(-3.6627017511137856e-21+1.8605493735499572e-20j)
1.144,3.977762605042051e-21,-5.47709021485813e-18,(-3.665134165967042e-20-1.3336890969449182e-21j)
1.145,3.978410775247337e-21,-5.475526751803898e-18,(-1.53348797226654e-20-2.867468420528782e-20j)
1.146,3.9789452601108275e-21,-5.474624262504407e-18,(-2.396025750517138e-20-6.941275065273401e-21j)
1.147,3.979076422278802e-21,-5.473271734618301e-18,(-7.919666832405046e-21+1.1619156221153783e-20j)
1.148,3.979172848920955e-21,-5.477950811415999e-18,(1.2244426940565409e-20-9.52975248078283e-21j)
1.149,3.979427362295151e-21,-5.472932319681712e-18,(7.846550355799863e-21-2.224685007881078e-20j)
1.15,3.979030373917907e-21,-5.465759200021758e-18,(-2.0886059090141294e-20-2.947178721232619e-20j)
1.151,3.980023673450536e-21,-5.468672311768383e-18,(-1.4982354367296353e-20-2.760008988762784e-20j)
1.152,3.9802746432651934e-21,-5.4739182131085174e-18,(-2.260709186794144e-20-3.5708905120296045e-20j)
1.153,3.980649854979793e-21,-5.4697561067229464e-18,(-2.181506220827598e-20-2.4137006697299836e-20j)
1.154,3.980236620792587e-21,-5.4641831282576594e-18,(-2.5932850719066227e-20-3.4845732954416825e-20j)
1.155,3.980803992677468e-21,-5.467008523942332e-18,(-1.427817144609494e-20-2.9660399028540203e-20j)
1.156,3.980234773808677e-21,-5.452358115438444e-18,(-2.019165965452464e-20-3.460057508419086e-20j)
1.157,3.9811929177060136e-21,-5.458668650427612e-18,(-2.1237143337406568e-20-2.460316704191801e-20j)
